"","Name","pred.probs","OscarWon","Year"
"1","Renée Zellweger",0.582290529625917,0,2002
"2","Salma Hayek",0.0126314635289465,0,2002
"3","Nicole Kidman",0.866536961860677,1,2002
"4","Diane Lane",0.0126314635289465,0,2002
"5","Julianne Moore",0.00237317700443943,0,2002
"6","Charlize Theron",0.602572209110819,1,2003
"7","Keisha Castle-Hughes",0.0126314635289465,0,2003
"8","Diane Keaton",0.0888015912749411,0,2003
"9","Naomi Watts",0.0126314635289465,0,2003
"10","Samantha Morton",0.0126314635289465,0,2003
"11","Hilary Swank",0.602572209110819,1,2004
"12","Annette Bening",0.0888015912749411,0,2004
"13","Catalina Sandino Moreno",0.0126314635289465,0,2004
"14","Imelda Staunton",0.12718018202536,0,2004
"15","Kate Winslet",0.0126314635289465,0,2004
"16","Reese Witherspoon",0.746988426451155,1,2005
"17","Judi Dench",0.0126314635289465,0,2005
"18","Felicity Huffman",0.363073711420129,0,2005
"19","Charlize Theron",0.0126314635289465,0,2005
"20","Keira Knightley",0.0126314635289465,0,2005
"21","Helen Mirren",0.945262958600486,1,2006
"22","Penélope Cruz",0.0126314635289465,0,2006
"23","Judi Dench",0.0126314635289465,0,2006
"24","Meryl Streep",0.0888015912749411,0,2006
"25","Kate Winslet",0.0126314635289465,0,2006
"26","Julie Christie",0.602572209110819,0,2007
"27","Cate Blanchett",0.0126314635289465,0,2007
"28","Marion Cotillard",0.526069377101778,1,2007
"29","Laura Linney",0.0126314635289465,0,2007
"30","Ellen Page",0.0126314635289465,0,2007
"31","Meryl Streep",0.0329069686482623,0,2008
"32","Anne Hathaway",0.00237317700443943,0,2008
"33","Angelina Jolie",0.0126314635289465,0,2008
"34","Melissa Leo",0.0126314635289465,0,2008
"35","Kate Winslet",0.363073711420129,1,2008
"36","Sandra Bullock",0.602572209110819,1,2009
"37","Helen Mirren",0.0126314635289465,0,2009
"38","Carey Mulligan",0.12718018202536,0,2009
"39","Gabourey Sidibe",0.0126314635289465,0,2009
"40","Meryl Streep",0.00237317700443943,0,2009
"41","Natalie Portman",0.945262958600486,1,2010
"42","Annette Bening",0.0888015912749411,0,2010
"43","Nicole Kidman",0.0126314635289465,0,2010
"44","Jennifer Lawrence",0.0126314635289465,0,2010
"45","Michelle Williams",0.0126314635289465,0,2010
"46","Viola Davis",0.0329069686482623,0,2011
"47","Glenn Close",0.0126314635289465,0,2011
"48","Meryl Streep",0.866536961860677,1,2011
"49","Michelle Williams",0.0888015912749411,0,2011
"50","Rooney Mara",0.0126314635289465,0,2011
"51","Jennifer Lawrence",0.582290529625917,1,2012
"52","Jessica Chastain",0.0958383520270438,0,2012
"53","Naomi Watts",0.0126314635289465,0,2012
"54","Emmanuelle Riva",0.12718018202536,0,2012
"55","Quvenzhané Wallis",0.0126314635289465,0,2012
"56","Cate Blanchett",0.945262958600486,1,2013
"57","Sandra Bullock",0.0126314635289465,0,2013
"58","Judi Dench",0.0126314635289465,0,2013
"59","Meryl Streep",0.0126314635289465,0,2013
"60","Amy Adams",0.0888015912749411,0,2013
"61","Julianne Moore",0.945262958600486,1,2014
"62","Felicity Jones",0.0126314635289465,0,2014
"63","Rosamund Pike",0.0126314635289465,0,2014
"64","Reese Witherspoon",0.0126314635289465,0,2014
"65","Marion Cotillard",0.0126314635289465,0,2014
"66","Brie Larson",0.945262958600486,1,2015
"67","Cate Blanchett",0.0126314635289465,0,2015
"68","Saoirse Ronan",0.0126314635289465,0,2015
"69","Jennifer Lawrence",0.0888015912749411,0,2015
"70","Charlotte Rampling",0.0126314635289465,0,2015
"71","Emma Stone",0.94074999842045,1,2016
"72","Natalie Portman",0.00237317700443943,0,2016
"73","Meryl Streep",0.0126314635289465,0,2016
"74","Isabelle Huppert",0.363073711420129,0,2016
"75","Ruth Negga",0.0126314635289465,0,2016
"76","Frances McDormand",0.945262958600486,0,2017
"77","Sally Hawkins",0.0126314635289465,1,2017
"78","Margot Robbie",0.0126314635289465,0,2017
"79","Saoirse Ronan",0.0126314635289465,0,2017
"80","Meryl Streep",0.0126314635289465,0,2017
